Issue key,Issue id,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Labels,Components,Created,Updated,Fix Version/s,Sprint,Story Points,Epic Link,Description
ABS-1,30001,EPIC: Shopping & Dynamic Pricing,Epic,Done,Medium,Done,DevOps,Osman Turalioglu,epic,,2024-12-16 00:00,2024-12-23 00:00,,,,,Epic for Shopping & Dynamic Pricing. Outcome: reliable airline booking flows and artifacts across channels.
ABS-2,30002,EPIC: Order Management (PNR/ETKT/EMD),Epic,Done,Medium,Done,Frontend Lead,Osman Turalioglu,epic,,2024-12-16 00:00,2024-12-23 00:00,,,,,Epic for Order Management (PNR/ETKT/EMD). Outcome: reliable airline booking flows and artifacts across channels.
ABS-3,30003,EPIC: Ancillaries (Seats/Bags/Meals),Epic,Done,Medium,Done,DevOps,Osman Turalioglu,epic,,2024-12-16 00:00,2024-12-23 00:00,,,,,Epic for Ancillaries (Seats/Bags/Meals). Outcome: reliable airline booking flows and artifacts across channels.
ABS-4,30004,EPIC: Payments & Refunds (PCI/BSP),Epic,Done,Medium,Done,Backend Lead,Osman Turalioglu,epic,,2024-12-16 00:00,2024-12-23 00:00,,,,,Epic for Payments & Refunds (PCI/BSP). Outcome: reliable airline booking flows and artifacts across channels.
ABS-5,30005,EPIC: Schedule Change & Disruption,Epic,Done,Medium,Done,Data/ML,Osman Turalioglu,epic,,2024-12-16 00:00,2024-12-23 00:00,,,,,Epic for Schedule Change & Disruption. Outcome: reliable airline booking flows and artifacts across channels.
ABS-6,30006,EPIC: NDC Gateway & GDS Interop,Epic,Done,Medium,Done,Osman Turalioglu,Osman Turalioglu,epic,,2024-12-16 00:00,2024-12-23 00:00,,,,,Epic for NDC Gateway & GDS Interop. Outcome: reliable airline booking flows and artifacts across channels.
ABS-7,30007,EPIC: Loyalty & Profiles,Epic,Done,Medium,Done,DevOps,Osman Turalioglu,epic,,2024-12-16 00:00,2024-12-23 00:00,,,,,Epic for Loyalty & Profiles. Outcome: reliable airline booking flows and artifacts across channels.
ABS-8,30008,Refund auto-eligibility based on fare rules,Story,Done,Medium,Done,Osman Turalioglu,Osman Turalioglu,performance;tech-debt,inventory;order,2025-01-10 22:00,2025-01-12 22:00,R1.1,Sprint 1,3,ABS-4,"Why it matters: ensure robust ABS flows for airline bookings.
Scenario: Refund auto-eligibility based on fare rules.
Details: include PNR lifecycle (create/ticket/change), EMD (A/B), SSR, NDC/GDS parity, and queue handling.
Acceptance:
- Correct PTC (ADT/CHD/INF) & RBD
- Fare family & penalty logic respected
- KPI captured: success %, retries, time-to-issue
Demo: create booking, apply change/refund when relevant, show ETKT/EMD/Order artifacts.
Risk: rate limiting, stale inventory, BSP/clearing failures.
"
ABS-9,30009,Disruption notification email/SMS templates,Story,Done,Low,Done,Osman Turalioglu,Osman Turalioglu,performance;ux,order;ticketing,2025-01-08 20:00,2025-01-12 20:00,R1.1,Sprint 1,5,ABS-6,"Why it matters: ensure robust ABS flows for airline bookings.
Scenario: Disruption notification email/SMS templates.
Details: include PNR lifecycle (create/ticket/change), EMD (A/B), SSR, NDC/GDS parity, and queue handling.
Acceptance:
- Correct PTC (ADT/CHD/INF) & RBD
- Fare family & penalty logic respected
- KPI captured: success %, retries, time-to-issue
Demo: create booking, apply change/refund when relevant, show ETKT/EMD/Order artifacts.
Risk: rate limiting, stale inventory, BSP/clearing failures.
"
ABS-10,30010,Ancillary upsell in post-booking (MEAL/BAG/SEAT),Task,Done,Medium,Done,Frontend Lead,Osman Turalioglu,,ndc;order,2025-01-10 02:00,2025-01-14 02:00,R1.1,Sprint 1,3,ABS-3,"Why it matters: ensure robust ABS flows for airline bookings.
Scenario: Ancillary upsell in post-booking (MEAL/BAG/SEAT).
Details: include PNR lifecycle (create/ticket/change), EMD (A/B), SSR, NDC/GDS parity, and queue handling.
Acceptance:
- Correct PTC (ADT/CHD/INF) & RBD
- Fare family & penalty logic respected
- KPI captured: success %, retries, time-to-issue
Demo: create booking, apply change/refund when relevant, show ETKT/EMD/Order artifacts.
Risk: rate limiting, stale inventory, BSP/clearing failures.
"
