Issue key,Issue id,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Labels,Components,Created,Updated,Fix Version/s,Sprint,Story Points,Epic Link,Description,Comments Count,PR Count,Attachment Count,Linked Bugs Count,Words in Description,Has Metric Number
DP-1,10001,EPIC: Ranker,Epic,Done,Medium,Done,Backend Lead,Osman Turalioglu,epic,,2025-05-11 00:00,2025-05-18 00:00,,,0,,"Business goal: Ranker. Success metric: improved demo clarity & speed.

—
Epic Narrative: This epic organizes related work under 'EPIC: Ranker'.
Outcome: coherent slides and synced artifacts across child issues. Components: nan.",2,0,1,0,32,0
DP-2,10002,EPIC: Exporters,Epic,Done,Medium,Done,Frontend Lead,Osman Turalioglu,epic,,2025-05-11 00:00,2025-05-18 00:00,,,0,,"Business goal: Exporters. Success metric: improved demo clarity & speed.

—
Epic Narrative: This epic organizes related work under 'EPIC: Exporters'.
Outcome: coherent slides and synced artifacts across child issues. Components: nan.",4,0,1,0,32,0
DP-3,10003,EPIC: Auth,Epic,Done,Medium,Done,Data/ML,Osman Turalioglu,epic,,2025-05-11 00:00,2025-05-18 00:00,,,0,,"Business goal: Auth. Success metric: improved demo clarity & speed.

—
Epic Narrative: This epic organizes related work under 'EPIC: Auth'.
Outcome: coherent slides and synced artifacts across child issues. Components: nan.",1,0,0,0,32,0
DP-4,10004,EPIC: Ingestion & Normalization,Epic,Done,Medium,Done,Osman Turalioglu,Osman Turalioglu,epic,,2025-05-11 00:00,2025-05-18 00:00,,,0,,"Business goal: Ingestion & Normalization. Success metric: improved demo clarity & speed.

—
Epic Narrative: This epic organizes related work under 'EPIC: Ingestion & Normalization'.
Outcome: coherent slides and synced artifacts across child issues. Components: nan.",3,0,2,0,36,0
DP-5,10005,EPIC: Explainability,Epic,Done,Medium,Done,Osman Turalioglu,Osman Turalioglu,epic,,2025-05-11 00:00,2025-05-18 00:00,,,0,,"Business goal: Explainability. Success metric: improved demo clarity & speed.

—
Epic Narrative: This epic organizes related work under 'EPIC: Explainability'.
Outcome: coherent slides and synced artifacts across child issues. Components: nan.",4,0,1,0,32,0
DP-6,10006,EPIC: Dash & API,Epic,Done,Medium,Done,DevOps,Osman Turalioglu,epic,,2025-05-11 00:00,2025-05-18 00:00,,,0,,"Business goal: Dash & API. Success metric: improved demo clarity & speed.

—
Epic Narrative: This epic organizes related work under 'EPIC: Dash & API'.
Outcome: coherent slides and synced artifacts across child issues. Components: nan.",2,0,2,0,36,0
DP-7,10007,EPIC: PPTX Theming,Epic,Done,Medium,Done,Osman Turalioglu,Osman Turalioglu,epic,,2025-05-11 00:00,2025-05-18 00:00,,,0,,"Business goal: PPTX Theming. Success metric: improved demo clarity & speed.

—
Epic Narrative: This epic organizes related work under 'EPIC: PPTX Theming'.
Outcome: coherent slides and synced artifacts across child issues. Components: nan.",4,0,1,0,34,0
DP-8,10008,EPIC: Caching & Perf,Epic,Done,Medium,Done,Backend Lead,Osman Turalioglu,epic,,2025-05-11 00:00,2025-05-18 00:00,,,0,,"Business goal: Caching & Perf. Success metric: improved demo clarity & speed.

—
Epic Narrative: This epic organizes related work under 'EPIC: Caching & Perf'.
Outcome: coherent slides and synced artifacts across child issues. Components: nan.",2,0,1,0,36,0
DP-9,10009,Add per-item explainability strings,Story,Done,Low,Done,Osman Turalioglu,Osman Turalioglu,security,ml,2025-06-05 13:00,2025-06-06 13:00,1.1,Sprint 1,2,DP-1,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show add per-item explainability strings results.

—
As a Engineering Manager, I need **add per-item explainability strings** so that it de‑duplicates overlapping tickets and PR links.
Value & Metric: Expected impact **≥4.7/5 stakeholder clarity**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 1', and show the output slide where **Add per-item explainability strings** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **CSV/attachment encoding issues**. Components: ml.

Value: direct customer-facing impact; standardizes the narrative.
Metric: ≥4.6/5 CSAT.
Demo: open the app, select the current sprint, and show the KPI slide.",1,2,3,1,186,1
DP-10,10010,Ranker baseline (tf-idf + heuristics),Task,Done,Low,Done,Osman Turalioglu,Osman Turalioglu,customer-impact,auth,2025-06-03 01:00,2025-06-08 01:00,1.1,Sprint 1,2,DP-7,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show ranker baseline (tf-idf + heuristics) results.

—
As a Product Owner, I need **ranker baseline (tf-idf + heuristics)** so that it reduces manual prep time for demos.
Value & Metric: Expected impact **−35% context switching during prep**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 1', and show the output slide where **Ranker baseline (tf-idf + heuristics)** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **CSV/attachment encoding issues**. Components: auth.

Note: standard progress update; validate fields and links; no KPI change expected.",3,1,3,0,180,1
DP-11,10011,Spike: SBERT embedding benchmark,Story,Done,Medium,Done,Osman Turalioglu,Osman Turalioglu,tech-debt,export;integration,2025-06-02 17:00,2025-06-08 17:00,1.1,Sprint 1,2,DP-4,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show spike: sbert embedding benchmark results.

—
As a Sprint Demo Stakeholder, I need **spike: sbert embedding benchmark** so that it enables one‑click artifact generation (PPTX/MD/JSON).
Value & Metric: Expected impact **−60% slide creation time**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 1', and show the output slide where **Spike: SBERT embedding benchmark** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **missing Epic Link on migrated items**. Components: export;integration.

Note: standard progress update; validate fields and links; no KPI change expected.",4,2,3,2,179,1
DP-12,10012,Attachment parsing & mime handling,Task,Done,Medium,Done,Osman Turalioglu,Osman Turalioglu,,export;integration,2025-06-08 05:00,2025-06-14 05:00,1.1,Sprint 1,2,DP-5,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines


—
As a QA Lead, I need **attachment parsing & mime handling** so that it improves traceability between Epics and Stories.


Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **field mapping drifts after JIRA updates**. Components: export;integration.

Context: minor config harmonization across environments. No direct user-facing changes this iteration.",1,1,0,1,135,0
DP-13,10013,Markdown generator (ordered with PPTX),Task,Done,Highest,Done,Frontend Lead,Osman Turalioglu,tech-debt,auth,2025-06-08 10:00,2025-06-10 10:00,1.1,Sprint 1,8,DP-7,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show markdown generator (ordered with pptx) results.

—
As a QA Lead, I need **markdown generator (ordered with pptx)** so that it enables one‑click artifact generation (PPTX/MD/JSON).
Value & Metric: Expected impact **+25% reviewer throughput**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 1', and show the output slide where **Markdown generator (ordered with PPTX)** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **field mapping drifts after JIRA updates**. Components: auth.

Value: direct customer-facing impact; improves predictability vs. reported metrics.
Metric: ≤±5% predictability error.
Demo: open the app, select the current sprint, and show the KPI slide.",1,3,0,3,194,1
DP-14,10014,Add per-item explainability strings,Story,Done,Low,Done,Backend Lead,Osman Turalioglu,,auth;ui,2025-06-08 02:00,2025-06-11 02:00,1.1,Sprint 1,3,DP-8,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show add per-item explainability strings results.

—
As a Engineering Manager, I need **add per-item explainability strings** so that it improves traceability between Epics and Stories.
Value & Metric: Expected impact **+25% reviewer throughput**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 1', and show the output slide where **Add per-item explainability strings** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **field mapping drifts after JIRA updates**. Components: auth;ui.

Value: enables faster executive reviews; standardizes the narrative.
Metric: +25% reviewer throughput.
Demo: open the app, select the current sprint, and show the KPI slide.",6,3,2,0,191,1
DP-15,10015,Bug: label parsing for semicolons,Story,Done,Medium,Done,Backend Lead,Osman Turalioglu,customer-impact,export,2025-06-07 12:00,2025-06-13 12:00,1.1,Sprint 1,2,DP-8,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show bug: label parsing for semicolons results.

—
As a Sprint Demo Stakeholder, I need **bug: label parsing for semicolons** so that it enables one‑click artifact generation (PPTX/MD/JSON).
Value & Metric: Expected impact **+25% reviewer throughput**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 1', and show the output slide where **Bug: label parsing for semicolons** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **field mapping drifts after JIRA updates**. Components: export.

Value: improves stakeholder clarity; cuts context switches.
Metric: +25% reviewer throughput.
Demo: open the app, select the current sprint, and show the KPI slide.",6,0,3,3,193,1
DP-16,10016,UI: Quick download panel,Story,Done,Medium,Done,Backend Lead,Osman Turalioglu,,export,2025-06-05 15:00,2025-06-06 15:00,1.1,Sprint 1,1,DP-4,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show ui: quick download panel results.

—
As a Engineering Manager, I need **ui: quick download panel** so that it improves predictability against reported metrics.
Value & Metric: Expected impact **−60% slide creation time**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 1', and show the output slide where **UI: Quick download panel** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **field mapping drifts after JIRA updates**. Components: export.

Value: high visibility for leadership demos; standardizes the narrative.
Metric: ≥4.6/5 CSAT.
Demo: click 'Generate', review top-ranked items with reasons, and show the PPTX preview.",3,2,1,1,191,1
DP-17,10017,Perf: Cache JIRA field lookups,Spike,Done,Low,Done,Backend Lead,Osman Turalioglu,security,ui,2025-06-04 21:00,2025-06-08 21:00,1.1,Sprint 1,2,DP-5,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show perf: cache jira field lookups results.

—
As a Product Owner, I need **perf: cache jira field lookups** so that it standardizes deck structure across teams.
Value & Metric: Expected impact **−60% slide creation time**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 1', and show the output slide where **Perf: Cache JIRA field lookups** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **inconsistent Story Point usage across teams**. Components: ui.

Value: improves stakeholder clarity; improves predictability vs. reported metrics.
Metric: +25% reviewer throughput.
Demo: open the app, select the current sprint, and show the KPI slide.",5,0,4,3,195,1
DP-18,10018,Normalize JIRA fields for ranking,Story,Done,Highest,Done,Data/ML,Osman Turalioglu,,export,2025-06-03 13:00,2025-06-08 13:00,1.1,Sprint 1,5,DP-5,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show normalize jira fields for ranking results.

—
As a Support Analyst, I need **normalize jira fields for ranking** so that it reduces manual prep time for demos.
Value & Metric: Expected impact **−30 mins per sprint on average**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 1', and show the output slide where **Normalize JIRA fields for ranking** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **CSV/attachment encoding issues**. Components: export.

Value: direct customer-facing impact; reduces prep time.
Metric: +25% reviewer throughput.
Demo: reveal 'Why it matters' text and highlight the metric callout on the slide.",5,0,0,3,194,1
DP-19,10019,UI: Quick download panel,Story,Done,Low,Done,Data/ML,Osman Turalioglu,security,export,2025-06-05 12:00,2025-06-06 12:00,1.1,Sprint 1,3,DP-7,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show ui: quick download panel results.

—
As a Sprint Demo Stakeholder, I need **ui: quick download panel** so that it enables one‑click artifact generation (PPTX/MD/JSON).
Value & Metric: Expected impact **+25% reviewer throughput**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 1', and show the output slide where **UI: Quick download panel** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **rate limiting during peak hours**. Components: export.

Note: standard progress update; validate fields and links; no KPI change expected.",3,2,1,2,177,1
DP-20,10020,Normalize JIRA fields for ranking,Story,Done,Lowest,Done,DevOps,Osman Turalioglu,docs;tech-debt,auth,2025-06-06 04:00,2025-06-11 04:00,1.1,Sprint 1,8,DP-2,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines


—
As a QA Lead, I need **normalize jira fields for ranking** so that it surfaces risk and follow‑ups early.


Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **rate limiting during peak hours**. Components: auth.

Context: general refactor to simplify module boundaries. No measurable stakeholder effect recorded this sprint.",2,0,2,0,135,0
DP-21,10021,PR link ingestion & dedup,Story,Done,High,Done,Osman Turalioglu,Osman Turalioglu,,export;ml,2025-06-19 15:00,2025-06-23 15:00,1.2,Sprint 2,2,DP-2,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines
Demo: show pr link ingestion & dedup results.

—
As a Customer Success Manager, I need **pr link ingestion & dedup** so that it standardizes deck structure across teams.
Value & Metric: Expected impact **−35% context switching during prep**; evidence captured in Markdown & JSON artifacts.
Demo Script: open the generator, select 'Sprint 2', and show the output slide where **PR link ingestion & dedup** is reflected with reasons.
Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **rate limiting during peak hours**. Components: export;ml.

Value: improves stakeholder clarity; raises reviewer throughput.
Metric: +25% reviewer throughput.
Demo: click 'Generate', review top-ranked items with reasons, and show the PPTX preview.",7,1,4,1,194,1
DP-22,10022,PPTX master & slide layouts,Task,Done,Medium,Done,Osman Turalioglu,Osman Turalioglu,customer-impact;tech-debt,ui,2025-06-21 17:00,2025-06-22 17:00,1.2,Sprint 2,2,DP-6,"Why it matters: improves demo prep speed and clarity.
Acceptance Criteria:
- Clear value statement
- Traceability to Epic
- Demo script lines


—
As a Support Analyst, I need **pptx master & slide layouts** so that it improves predictability against reported metrics.


Acceptance Criteria:
- AC1: Clear 'why it matters' sentence present.
- AC2: Links/Epics resolved; fields normalized.
- AC3: Slide text ≤ 40 words; jargon minimized.
- AC4: JSON includes `reason`, `kpi`, and `slide_id`.
- Acceptance: measurable outcome recorded in JSON and shown on PPTX KPI slide.
Test Notes: verified happy path and a negative path; attached screenshot where relevant; added small dataset to reproduce edge cases.
Risk & Dependency: Watch for **inconsistent Story Point usage across teams**. Components: ui.

Context: minor config harmonization across environments. Internal-only change with limited visibility.",2,1,1,1,133,0
