Summary,Issue Type,Description,Priority,Labels,Sprint,Story Points,Status,Components
"Incident triage workflow v1 (product-1)","Story","As an on-call engineer, I want a structured triage flow so incidents are routed and prioritized consistently.","High","product-1,incident-management,triage,sprint1","Sprint 1",8,"To Do","product-1"
"Error budget dashboard MVP (product-2)","Story","As an SRE, I need an error budget dashboard to track SLO burn rates by service.","High","product-2,incident-management,observability,sprint1","Sprint 1",5,"To Do","product-2"
"Upgrade core service to v2.3 (product-3)","Story","As a platform owner, I need to upgrade the core service to v2.3 to receive security patches.","High","product-3,application-upgrade,security,sprint1","Sprint 1",5,"To Do","product-3"
"Vendor API connector skeleton (product-1)","Story","As a dev, I need a connector template to integrate with vendor APIs uniformly.","Medium","product-1,vendor-tool,connector,sprint1","Sprint 1",5,"To Do","product-1"
"Runbook template + checklist (product-2)","Story","As an engineer, I want a unified runbook template to reduce MTTR.","Medium","product-2,incident-management,runbooks,sprint1","Sprint 1",5,"To Do","product-2"
"Automated rollback script (product-3)","Story","As a release engineer, I want a one-click rollback script to reduce risk during upgrades.","Medium","product-3,application-upgrade,release,sprint1","Sprint 1",5,"To Do","product-3"
"Postmortem form & tags (product-1)","Story","As a team, we want a standard postmortem form with tags to improve learnings.","Low","product-1,incident-management,postmortem,sprint1","Sprint 1",4,"To Do","product-1"
"Vendor sandbox account provisioning (product-2)","Story","As a dev, I need automatic sandbox provisioning for vendor integrations.","Low","product-2,vendor-tool,devex,sprint1","Sprint 1",3,"To Do","product-2"
"On-call handoff bot (product-1)","Story","As on-call staff, I want a bot to summarize incidents at shift change.","High","product-1,incident-management,automation,sprint2","Sprint 2",8,"To Do","product-1"
"Service dependency map (product-3)","Story","As an SRE, I need a live map of service dependencies to accelerate triage.","High","product-3,incident-management,observability,sprint2","Sprint 2",5,"To Do","product-3"
"Upgrade DB engine to 14.x (product-2)","Story","As a DBA, I must upgrade the DB engine to 14.x for performance and support.","High","product-2,application-upgrade,database,sprint2","Sprint 2",5,"To Do","product-2"
"Vendor tool auth module (OIDC) (product-1)","Story","As a user, I can sign in to the vendor cooperation tool with OIDC (SSO).","Medium","product-1,vendor-tool,auth,sprint2","Sprint 2",5,"To Do","product-1"
"Alert noise reduction rules (product-3)","Story","As an SRE, I want to de-duplicate and suppress noisy alerts.","Medium","product-3,incident-management,alerting,sprint2","Sprint 2",5,"To Do","product-3"
"Blue-green deployment for web (product-2)","Story","As a release manager, I can deploy web using blue-green strategy.","Medium","product-2,application-upgrade,release,sprint2","Sprint 2",5,"To Do","product-2"
"Vendor API health checks (product-3)","Story","As a tool maintainer, I need periodic vendor API health checks.","Low","product-3,vendor-tool,observability,sprint2","Sprint 2",4,"To Do","product-3"
"SLA/SLO policy baselines (product-1)","Story","As a team, we define baseline SLOs and SLAs per product service.","Low","product-1,incident-management,slo,sprint2","Sprint 2",3,"To Do","product-1"
"Major incident room templates (product-2)","Story","As an incident commander, I want pre-configured MI channels and templates.","High","product-2,incident-management,process,sprint3","Sprint 3",8,"To Do","product-2"
"Upgrade message broker cluster (product-1)","Story","As a platform owner, I need to upgrade the broker to latest LTS.","High","product-1,application-upgrade,infra,sprint3","Sprint 3",5,"To Do","product-1"
"Vendor tool: integration catalog UI (product-3)","Story","As a user, I can browse certified vendor integrations in a catalog.","High","product-3,vendor-tool,ui,sprint3","Sprint 3",5,"To Do","product-3"
"Auto-assign based on service tags (product-2)","Story","As an IC, I want incidents auto-assigned based on service ownership tags.","Medium","product-2,incident-management,automation,sprint3","Sprint 3",5,"To Do","product-2"
"Canary release gates (product-3)","Story","As a release engineer, I want automated gates for canary metrics.","Medium","product-3,application-upgrade,release,sprint3","Sprint 3",5,"To Do","product-3"
"Vendor webhook retry & DLQ (product-1)","Story","As a tool owner, I need idempotent webhooks with retries and a DLQ.","Medium","product-1,vendor-tool,reliability,sprint3","Sprint 3",5,"To Do","product-1"
"Incident comms templates (email/statuspage) (product-2)","Story","As comms lead, I need templates for customer updates.","Low","product-2,incident-management,comms,sprint3","Sprint 3",4,"To Do","product-2"
"Audit trail export (product-3)","Story","As a compliance officer, I can export audit trails for review.","Low","product-3,vendor-tool,compliance,sprint3","Sprint 3",3,"To Do","product-3"
"Root cause hinting (heuristics) (product-1)","Story","As an engineer, I want simple heuristics to suggest likely root causes.","High","product-1,incident-management,intelligence,sprint4","Sprint 4",8,"To Do","product-1"
"Upgrade mobile SDKs to latest (product-2)","Story","As a mobile dev, I must upgrade SDKs to resolve deprecations.","High","product-2,application-upgrade,mobile,sprint4","Sprint 4",5,"To Do","product-2"
"Vendor tool: role-based access (RBAC) (product-3)","Story","As an admin, I can assign roles and permissions for integrations.","High","product-3,vendor-tool,security,sprint4","Sprint 4",5,"To Do","product-3"
"Auto incident timeline builder (product-2)","Story","As an IC, I want an automatic event timeline during incidents.","Medium","product-2,incident-management,automation,sprint4","Sprint 4",5,"To Do","product-2"
"Automated schema migration runner (product-1)","Story","As a devops engineer, I need a safe migration runner for upgrades.","Medium","product-1,application-upgrade,infra,sprint4","Sprint 4",5,"To Do","product-1"
